p=54,7 v=-80,-65
p=39,37 v=90,-35,1
p=1,7 v=14,67,1
p=3,66 v=-98,93,1
p=10,34 v=-63,37,1
p=45,18 v=-33,9,1
p=5,10 v=23,-5,1
p=93,41 v=-63,-4,1
p=29,67 v=-2,93,1
p=92,32 v=-78,-97,1
p=8,12 v=49,-29,1
p=20,81 v=-72,66,1
p=3,47 v=-56,-45,1
p=17,94 v=-89,63
p=13,17 v=24,81
p=50,87 v=-95,49,1
p=19,18 v=71,-46,1
p=47,9 v=99,67
p=66,93 v=-69,-71,1
p=60,38 v=24,13,1
p=38,8 v=-32,12
p=77,25 v=-81,-87
p=85,25 v=-39,40
p=27,21 v=57,33,1
p=100,41 v=89,68,1
p=2,76 v=-72,-27,1
p=79,68 v=17,-41,1
p=46,84 v=51,-13
p=83,76 v=-2,76
p=80,58 v=-63,17
p=36,72 v=59,93,1
p=60,29 v=8,95,1
p=62,67 v=98,7,1
p=58,14 v=52,43,1
p=34,78 v=24,-51,1
p=75,28 v=-12,-87,1
p=49,90 v=83,-30,1
p=69,32 v=76,-80,1
p=3,64 v=-96,-24,1
p=90,41 v=69,13,1
p=94,60 v=36,72,1
p=37,101 v=-33,15,1
p=16,102 v=7,-9,1
p=0,74 v=-8,45,1
p=9,69 v=-96,62,1
p=2,60 v=93,72,1
p=94,75 v=1,21,1
p=49,2 v=2,22,1
p=7,55 v=-30,-14,1
p=37,77 v=-46,-27,1
p=28,78 v=-37,52,1
p=47,56 v=68,-38,1
p=49,57 v=57,41,1
p=79,83 v=-60,-68,1
p=46,68 v=11,-17,1
p=76,31 v=-5,-56,1
p=15,92 v=71,-78,1
p=97,27 v=89,40,1
p=30,15 v=29,19,1
p=34,56 v=97,-38,1
p=17,25 v=-8,-15,1
p=14,59 v=-31,17
p=86,1 v=-30,70
p=83,12 v=81,-91
p=65,76 v=9,21
p=68,13 v=58,12
p=38,70 v=96,-17
p=84,85 v=-12,-68
p=18,25 v=-5,-70
p=99,1 v=40,15
p=24,25 v=22,57
p=2,24 v=-69,-22
p=57,28 v=70,9
p=40,102 v=-72,87
p=79,38 v=-81,78
p=94,95 v=-13,73
p=20,23 v=31,-53
p=17,50 v=21,-83
p=36,20 v=74,43
p=54,88 v=-42,59
p=31,49 v=-37,-35
p=32,33 v=-95,64
p=1,81 v=36,45
p=61,16 v=29,60
p=38,60 v=-45,34
p=95,24 v=14,-5
p=83,44 v=28,30
p=80,74 v=-64,-72
p=66,48 v=-91,-42
p=71,74 v=-57,55
p=23,58 v=70,-52
p=44,39 v=47,95
p=49,47 v=13,-73
p=37,58 v=-83,75
p=50,24 v=64,-12
p=59,39 v=3,40
p=42,98 v=98,90
p=92,89 v=-98,-3
p=91,29 v=47,98
p=20,52 v=32,-42
p=95,101 v=18,42
p=92,46 v=-58,23
p=81,61 v=-46,75
p=33,63 v=-68,51
p=36,54 v=2,-18
p=62,14 v=57,-88
p=3,79 v=-11,-79
p=52,93 v=65,-3
p=83,9 v=43,-47
p=41,28 v=-6,12
p=32,102 v=-32,-13
p=85,27 v=44,36
p=28,54 v=-85,-73
p=68,10 v=-67,80
p=37,38 v=-85,-77
p=50,2 v=1,66
p=27,44 v=-86,-94
p=100,101 v=51,-20
p=96,40 v=58,2
p=69,27 v=-59,5
p=9,5 v=-76,42
p=26,7 v=-30,-6
p=18,76 v=12,-14
p=5,61 v=-72,61
p=78,68 v=28,99
p=5,37 v=-73,-60
p=13,48 v=-18,-15
p=77,60 v=-52,30
p=84,7 v=-12,-37
p=91,33 v=-93,-43
p=39,73 v=15,51
p=85,13 v=2,-54
p=27,68 v=-97,92
p=48,78 v=73,58
p=0,84 v=-54,41
p=98,100 v=-69,69
p=92,73 v=2,99
p=96,19 v=64,80
p=48,48 v=46,-77
p=57,99 v=49,38
p=10,10 v=70,11
p=71,39 v=-100,60
p=86,82 v=-65,-45
p=87,89 v=72,96
p=20,85 v=45,89
p=87,65 v=-59,54
p=37,66 v=63,-49
p=74,37 v=59,-74
p=73,34 v=9,-2
p=99,14 v=-37,-13
p=53,47 v=4,19
p=9,16 v=-8,-61
p=51,41 v=-8,-19
p=96,8 v=-11,-51
p=43,62 v=61,16
p=10,71 v=56,-97
p=11,27 v=64,56
p=98,10 v=1,-51
p=60,52 v=12,98
p=46,51 v=83,-84
p=19,48 v=-34,91
p=51,22 v=79,-85
p=23,2 v=69,86
p=38,93 v=-46,-14
p=24,34 v=-93,63
p=12,37 v=79,15
p=42,93 v=-52,10
p=72,8 v=-61,-10
